"Clave";"Fecha";"Pais";"Forma";"Texto";"Valido";"Reflexivo";"Complemento_de";"Aspecto_verbal";"Sujeto";"Perifrasis"
"GRAN_H22_026";"1/1/08";"España";"reír";"… / engrandando engrandando y te hartas de reír // y tienes suerte // yo estoy aprendiendo …";"si";"no";"no";"infinitivo";"animado";"reflexiva"
"GRAN_H22_026";"1/1/08";"España";"reír";"… de mis clases de inglés // y nos hartamos de reír // porque en mis clases de inglés …";"si";"no";"no";"infinitivo";"animado";"reflexiva"
"GRAN_H22_026";"1/1/08";"España";"reír";"… <risas = ""E""/> y<alargamiento/> te hartas de reír cuando lo vas contando / y ya está / <cita> …";"si";"no";"no";"infinitivo";"animado";"reflexiva"
"GRAN_M31_053";"21/5/09";"España";"reír";"… hace mucho // esa me encanta // te hartas de reír<alargamiento/> // son buenos actores / no / …";"si";"no";"no";"infinitivo";"animado";"reflexiva"
"MALA_H13_065";"1/1/94";"España";"reír";"… / es que tienen cada cosa / ¡te tienes que reír! / <risas = ""A1""/> y pon / y pone <cita> …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"MALA_H13_065";"1/1/94";"España";"reír";"… dominó <risas = ""E""/> / las niñas hartas de reír jugando al Trivial // ¡y a pescar! / por la …";"si";"no";"no";"infinitivo";"animado";
"MALA_H13_065";"1/1/94";"España";"reír";"… / yo tengo / yo tenía / y <sic> se acaban de reír esta gente </sic> porque yo tenía un …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"MALA_M33_713";"1/1/99";"España";"reír";"… para abajo / y el fin de pasear era / ¡reírnos! / hablar de nuestras cosas / y ver a los …";"si";"si";"no";"infinitivo";"animado";
"SEVI_H21_006";"16/12/14";"España";"reír";"… toque una familia de esas arriba se harta de reír / porque se tiene que ir del<alargamiento/> …";"si";"no";"no";"infinitivo";"animado";"reflexiva"
"SEVI_H21_006";"16/12/14";"España";"reír";"… “todos”/> / y empecé <cita> ajajá </cita> a reírme ¡ay! / ahora dice <cita> ¿de qué te ríes …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"SEVI_H21_006";"16/12/14";"España";"reír";"… puta? </cita> digo <cita> ¿de qué me voy a reír Antonio? </cita> / digo <cita> desde luego …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"SEVI_H22_032";"27/6/18";"España";"reír";"… verano / si tienes un espíritu que te sueles reír y no <vacilación/> / influye todo E: uhum / …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"SEVI_M32_046";"21/4/17";"España";"reír";"… <risas = “E”/> / ya que mi marido se echó a reír <vacilación/> / claro / ya que mi marido se …";"si";"ambigua";"no";"infinitivo";"animado";"posiblemente_reflexiva"
"SEVI_M32_046";"21/4/17";"España";"reír";" ya que mi marido se echó a reír de cuando dije que me robaron una vez / me …";"si";"ambigua";"no";"infinitivo";"animado";"posiblemente_reflexiva"
"ALCA_H11_037";"23/3/11";"España";"reír";"¿por qué especialmente N y no<alargamiento/>? I: no no / no recuerdo así por qué / empezamos a hacer tonterías como dice el otro de verdad tonterías y punto no<alargamiento/> // no fue<alargamiento/> <simultáneo> nada de otro mundo </simultáneo> E: <simultáneo> a reír juntos y a<alargamiento/> </simultáneo> I: …";"si";"si";"no";"infinitivo";"animado";
"ALCA_H11_037";"23/3/11";"España";"reír";"… juntos y a<alargamiento/> a reírte a<alargamiento/> salir a tomar una cervecita";"si";"si";"no";"infinitivo";"animado";
"MADR_H22_026";"16/3/11";"España";"reír";"… pero no / no p <palabra_cortada/> no puedo freír un huevo no puedo o sea mm / lo hago todo …";"no";;;;;
"MADR_H33_049";"6/9/07";"España";"reír";"… un litro o lo que sea / y lo ponen no a freír / a calentar // y ahí le echan / pues eeh …";"no";;;;;
"MADR_H33_049";"6/9/07";"España";"reír";"… cinco ajos / partidos // y no se tienen que freír los ajos // nada más que cuando …";"no";;;;;
"MADR_M13_018";"20/4/08";"España";"reír";"… ya está casi terminado<alargamiento/> de freír / le echo<alargamiento/> tomate / tomate …";"no";;;;;
"SCOM_H13_012";"23/12/10";"España";"reír";"… <transcripción_dudosa> es como para reírse </transcripción_dudosa> <risas = ""E""/> …";"si";"si";"no";"infinitivo";"impersonal";
"SCOM_H31_042";"13/7/10";"España";"reír";"… </entre_risas> <risas = ""todos""/> / por reírse de mí <silencio/> bueno // ¿qué otras …";"si";"si";"si";"infinitivo";"animado";
"SCOM_M13_008";"7/7/09";"España";"reír";"… es decir no soy la típica de / <cita> no sé freír un huevo </cita> / sí // <risas = ""E""/> …";"no";;;;;
"SCOM_M23_004";"14/4/10";"España";"reír";"… // pues no <silencio/> no / de reírnos mucho a veces por detalles así que en ese …";"si";"si";"por";"infinitivo";"animado";
"SCOM_M23_004";"14/4/10";"España";"reír";"… // no no / pero si se tiene que apañar y freír algo lo fríe / pero va <entre_risas> a la …";"no";;;;;
"SANT_H13_002";"13/4/15";"España";"reír";"… simplemente nos empezamos a reír pues nos decía <cita> pues no es que pues …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"SANT_H21_045";"13/11/18";"España";"reír";"E: cuéntame I: me han pasado muchas / pero bueno / esa igual es un poco ética de reírse de las demás <risas = ""E""/> E: alguna …";"si";"si";"si";"infinitivo";"animado";
"SANT_H33_014";"17/4/15";"España";"reír";"™";"no";;;;;
"SANT_H33_014";"17/4/15";"España";"reír";"… a los chipirones // para que después al freírles se junten / E: ah / se peguen / I: se …";"no";;;;;
"SANT_M23_010";"27/9/16";"España";"reír";"… no lo sé / si vas a un entierro no te puedes reír / <simultáneo> ¿no? y si </simultáneo> E: …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"VALE_H11_065";"1/3/05";"España";"reír";"… sofre <palabra_cortada/> sofreírla / luego la echaría a la paella <sic> luego …";"no";;;;;
"VALE_H32_046";"1/6/02";"España";"reír";"… // una cosa rara <risas= ""E""/> que usté va a reírse y<alargamiento/> pensarlo / pero no es así …";"si";"si";"no";"infinitivo";"animado";"no_reflexiva"
"VALE_M31_051";"1/6/01";"España";"reír";"… = ""expresión en valenciano, sofregir, 'sofreír, sofrito'""/> / sofre <palabra_cortada/> todo …";"no";;;;;
"VALE_M31_051";"1/6/01";"España";"reír";"… / los maridos se ponen a reír / porque dicen / ya están el tema de los …";"si";"no";"no";"infinitivo";"animado";"reflexiva"
"GRAN_H12_019";"1/2/08";"España";"riendo";"… / esas oposiciones E: claro y te vas abriendo por ahí<alargamiento/> / camino I: <ruido = …";"no";;;;;
