BIBLIOGRAFÍA;CORDEMÁFORO;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
c1140 [s. XIV] ANÓNIMO, Poema de Mio Cid [España] [Alberto Montaner, Barcelona, Crítica, 1993] Verso;R;ANÓNIMO;Poema de Mio Cid;c1140[s. XIV] ;Verso;España;"Dixo mio Cid: — Comed, conde, algo, ca si non comedes, non veredes cristianos; e si vós comiéredes don yo sea pagado, a vós e a dos fijosdalgo quitarvos he los cuerpos e darvos é de mano.— Cuando esto oyó el conde ya s'iva alegrando: — Si lo fiziéredes, Cid, lo que avedes fablado, tanto cuanto yo viva seré dent maravillado.— — Pues comed, conde, e cuando fuéredes yantado a vós e a otros dos darvos he de mano, mas cuanto avedes perdido e yo gané en canpo, sabet, non vos daré a vós un";si;si;no;imperfectivo;animado;;
c1140 [s. XIV] ANÓNIMO, Poema de Mio Cid [España] [Alberto Montaner, Barcelona, Crítica, 1993] Verso;R;ANÓNIMO;Poema de Mio Cid;c1140[s. XIV] ;Verso;España;e que los diesse al abbat don Sancho. En estas nuevas todos se alegrando, de parte de orient vino un coronado, el obispo don Jerónimo so nombre es llamado, bien entendido es de letras e mucho acordado, de pie e de cavallo mucho era arreziado. Las provezas de mio Cid andávalas demandando, sospirando el obispo que·s' viesse con moros en el campo, que si·s' fartás lidiando e firiendo con sus;si;si;no;imperfectivo;animado;;
c1140 [s. XIV] ANÓNIMO, Poema de Mio Cid [España] [Alberto Montaner, Barcelona, Crítica, 1993] Verso;R;ANÓNIMO;Poema de Mio Cid;c1140[s. XIV] ;Verso;España;"los ha de aguardar; por la tierra del rey mucho conducho les dan.  De San Pero fasta Medina en cinco días van, felos en Medina las dueñas e Álbar Fáñez. Direvos de los cavalleros que levaron el mensaje: al ora que lo sopo mio Cid el de Bivar, plógol' de coraçón e tornós' a alegrar, de la su boca compeçó de fablar: — ¡Qui buen mandadero enbía tal deve sperar! Tú, Muño Gustíoz, e Pero Vermúez delant e Martín Antolínez, un burgalés leal, e el obispo don Jerónimo, coronado de prestar, cavalguedes con ciento guisados pora huebos de lidiar. Por Santa María vós vayades passar, vayades a";si;si;no;imperfectivo;animado;;
c1200 [s. XIII] ALMERICH, La fazienda de Ultra Mar [España] [Moshé Lazar, Salamanca, Universidad de Salamanca, 1965] Religión;A;ALMERICH;La fazienda de Ultra Mar;c1200[s. XIII] ;Religión;España;"e guarirlos as"". * E fue David con .vii. c. omnes e andidieron troa la torente de * Beçor, e cansaron los .cc., e remanecieron alli e non podien andar. E alcanço David con .cccc., e ovo buena barunt, un omne egipto, e guiolos sobrellos do comian e bevian es alegravan. E lidio con ellos David e desbaratolos e alcançolos, de la mannana fasta la viespera, e non escaparon dent mas de .cccc. omnes e fuxieron sobre los camellos. Sacudio David todo lo que levavan, e sus .ii. mugieres e todos los otros del mayor al menor. Vino David a los .cc. que";si;si;no;imperfectivo;animado;;
c1200 [s. XIII] ALMERICH, La fazienda de Ultra Mar [España] [Moshé Lazar, Salamanca, Universidad de Salamanca, 1965] Religión;A;ALMERICH;La fazienda de Ultra Mar;c1200[s. XIII] ;Religión;España;"si a poder de ampararte de los leones?"" Respuso Daniel e dixo: ""Rey, por consieglo vivi. * Myo Dios envio so angel e cero las bocas de los leones e nom fizieron mal, que delante el fu fallado en justicia e delante ti non fiz nemiga"". * Estonz el rey fue mucho alegrado e mando a Daniel sacar del pozo, e a aquellos barones que lo mesturaron mandolos echar en el pozo, a ellos e a sus mugieres. E antes que plegasen al suelo del pozo, los devoraron los leones. Apres desto enbio el rey cartas a su gent por toda su tierra e";transitivo;;;;;;
c1230 [s. XVIII (1775-1799)] BERCEO, GONZALO DE, Vida de San Millán de la Cogolla [España] [Brian Dutton, Madrid, Espasa-Calpe, 1992] Verso;A;BERCEO, GONZALO DE;Vida de San Millán de la Cogolla;c1230[s. XVIII (1775-1799)] ;Verso;España;"signos qe vos visto avedes, todos son por mal d'ellos, aún lo provaredes, sólo que vos qerades, en mano los tenedes.  Udiémoslo dezir a los más ancïanos qe la luna es nuestra, el sol de los christianos; quando ella se turba nos non fincamos sanos, quando muere el sol, s'alegran los milanos.  El fuego e los vientos qe nos espavecieron, todos los signos otros contra ellos corrieron; sepades qe los fados escusarvos quisieron, mas en qe los dessaron grant amor nos fizieron.  Avedes razón buena en qui mejor estades, ellos buscan la guerra, ca vos no la buscades, ellos se vos alçaron";si;si;no;imperfectivo;animado;;
p1236-1246 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Himnos [España] [Michel García, Madrid, Espasa-Calpe, 1992] Verso;R;BERCEO, GONZALO DE;Himnos;p1236-1246[s. XVIII (1775-1779)] ;Verso;España;", plus simple que cordera, Tú nos acabda, Madre, la vida verdadera, Tú nos abri los cielos como buena clavera.  Tú guía nuestra vida que no la enconemos, Tú seï nuestra vía que non entrepecemos; Tú nos guía, Señora, quando daquí iremos, como a Dios veamos, con Él nos alegremos.  Loor sea al Padre, al Fijo reverencia, onor al Sancto Spíritu, non de menor potencia, un Dios e tres Personas, ésta es la creencia, un Regno, un Imperio, un Rey, una Essencia. Amen.";si;si;no;imperfectivo;animado;;
c1236 [finales del s. XIII] BERCEO, GONZALO DE, Vida de Santo Domingo de Silos [España] [Aldo Ruffinatto, Madrid, Espasa-Calpe, 1992] Verso;A;BERCEO, GONZALO DE;Vida de Santo Domingo de Silos;c1236[finales del s. XIII] ;Verso;España;"bien se cataron, vidieron que de nuevo nulla ren non levaron, los paños que trasquieron essos mismos levaron, al padre benedicto más no lo ensayaron.   ¿Quí pudo veer nunqua cuerpo tan palaciano, nin que tan bien podiesse jogar a su christiano? Nunqua vino a él nin enfermo nin sano, a qui non alegrasse su boca o su mano.  Pruevas avemos muchas en esto e en ál que vaso era pleno de gracia celestial; él ruegue por nos todos al reï celestial, en vida e en muerte que nos guarde de mal.  Quiero passar al tránsido dexar todo lo ál, si non ý espendremos todo un temporal;";transitivo;;;;;;
p1236-1246 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Loores de Nuestra Señora [España] [Nicasio Salvador Miguel, Madrid, Espasa-Calpe, 1992] Verso;R;BERCEO, GONZALO DE;Loores de Nuestra Señora;p1236-1246[s. XVIII (1775-1779)] ;Verso;España;"mugier e por fuste somos ya redemidos; por essos mismos grados que fuemos confondidos, somos en los solares antigos revestidos.  Madre, el tu linage mucho es enalçado; si Eva falta fiço, Tú lo as adobado; bien paresce que Christo fue vuestro abogado; por ti es tu linage, Señora, desreptado.  Alégrate, Señora, que alegrarte deves, ca buenas nuevas corren e nuevo tiempo vedes; lo que 'speresti siempre, Señora, ya avedes. ¡Alégrate, Señora, que alegrarte deves!   A los sus peccadores grant esfuerço nos dio quand perdonó a Peidro, luego que s' rependió; mostrónos en aquesto qual nunca repoyó a";si;si;no;imperfectivo;animado;;
p1236-1246 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Loores de Nuestra Señora [España] [Nicasio Salvador Miguel, Madrid, Espasa-Calpe, 1992] Verso;R;BERCEO, GONZALO DE;Loores de Nuestra Señora;p1236-1246[s. XVIII (1775-1779)] ;Verso;España;"ya redemidos; por essos mismos grados que fuemos confondidos, somos en los solares antigos revestidos.  Madre, el tu linage mucho es enalçado; si Eva falta fiço, Tú lo as adobado; bien paresce que Christo fue vuestro abogado; por ti es tu linage, Señora, desreptado.  Alégrate, Señora, que alegrarte deves, ca buenas nuevas corren e nuevo tiempo vedes; lo que 'speresti siempre, Señora, ya avedes. ¡Alégrate, Señora, que alegrarte deves!   A los sus peccadores grant esfuerço nos dio quand perdonó a Peidro, luego que s' rependió; mostrónos en aquesto qual nunca repoyó a ningún peccador, si merced";si;si;no;imperfectivo;animado;;
p1236-1246 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Loores de Nuestra Señora [España] [Nicasio Salvador Miguel, Madrid, Espasa-Calpe, 1992] Verso;R;BERCEO, GONZALO DE;Loores de Nuestra Señora;p1236-1246[s. XVIII (1775-1779)] ;Verso;España;"es enalçado; si Eva falta fiço, Tú lo as adobado; bien paresce que Christo fue vuestro abogado; por ti es tu linage, Señora, desreptado.  Alégrate, Señora, que alegrarte deves, ca buenas nuevas corren e nuevo tiempo vedes; lo que 'speresti siempre, Señora, ya avedes. ¡Alégrate, Señora, que alegrarte deves!   A los sus peccadores grant esfuerço nos dio quand perdonó a Peidro, luego que s' rependió; mostrónos en aquesto qual nunca repoyó a ningún peccador, si merced li pidió.  Las guardas qu' el sepulcro en comienda ovieron falsaron sin mesura por aver que lis dieron; dixieron: «Nos";si;si;no;imperfectivo;animado;;
p1236-1246 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Loores de Nuestra Señora [España] [Nicasio Salvador Miguel, Madrid, Espasa-Calpe, 1992] Verso;R;BERCEO, GONZALO DE;Loores de Nuestra Señora;p1236-1246[s. XVIII (1775-1779)] ;Verso;España;"falta fiço, Tú lo as adobado; bien paresce que Christo fue vuestro abogado; por ti es tu linage, Señora, desreptado.  Alégrate, Señora, que alegrarte deves, ca buenas nuevas corren e nuevo tiempo vedes; lo que 'speresti siempre, Señora, ya avedes. ¡Alégrate, Señora, que alegrarte deves!   A los sus peccadores grant esfuerço nos dio quand perdonó a Peidro, luego que s' rependió; mostrónos en aquesto qual nunca repoyó a ningún peccador, si merced li pidió.  Las guardas qu' el sepulcro en comienda ovieron falsaron sin mesura por aver que lis dieron; dixieron: «Nos dormiendo, discípulos vinieron,";si;si;no;imperfectivo;animado;;
c1240 [mediados del s. XIV] ANÓNIMO, Libro de Apolonio [España] [Dolores Corbella, Madrid, Cátedra, 1992] Verso;R;ANÓNIMO;Libro de Apolonio;c1240[mediados del s. XIV] ;Verso;España;"palaçio comién a grant pod er, andauan los s eruientes cada hu no con su mester; non podié Apolonio las lágrimas tener, los conduchos quel' daua n non los podié p render.  Entendiólo el rey, començóle d e fablar: «Amigo, diz, mal fazes, no n te deuiés q uexar;  sol' q ue tú quisieres la cara alegrar, Dios te darìa conseio, no n se te podrié tardar».  El rey Architrastres, por la corte más pagar, a su fija Luçiana mandóla hí venir; la duenya vino luego, no n lo q uiso tardar, ca q uiso a ssu padr e obediente estar.  Entró por el palaçio la infante bien adobada, besó a";transitivo;;;;;;
