BIBLIOGRAFÍA;CORDEMÁFORO;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
c1237 [finales del s. XIV o principios del XV] ANÓNIMO, Libro de los doce sabios o Tratado de la nobleza y lealtad [España] [John K. Walsh, Madrid, Real Academia Española, 1975] Educación;R;ANÓNIMO;Libro de los doce sabios o Tratado de la nobleza y lealtad;c1237[finales del s. XIV o principios del XV] ;Educación;España;Conpañero deve ser el rey o regidor del reyno con las sus conpañas en les fazer muchas onrras e gasajados e aver plazer con ellos quando cunpliere, e en las guerras e batallas comer e bever  de conpañía, e burlar con los suyos, e entremeter con ellos algunas maneras de solaz, e loarlos e onrrarlos en plaça el bien que fezieren, e fazerles merçed por ello, e darles buena palabra, e reçebirlos bien quando venieren a él, e mostrarles gesto alegre e pagado, que del señor que se aparta fuen dél;absoluto;no;con;imperfectivo;animado;;
c1250 [s. XVI (1500-1503)] ANÓNIMO, La historia de la donzella Teodor [España] [Walter Mettmann, Mainz, Akademie der Wissenschaften und der Literatur, 1962] Novela;R_manual;ANÓNIMO;La historia de la donzella Teodor;c1250[s. XVI (1500-1503)] ;Novela;España;"E el sabio le preguntó: ""Dime, donzella, en que manera."" E ella dixo: ""Señor maestro, sabed que si la muger fuere tardia en su voluntad, deue el hombre que dormiere con ella ser sabio, como dicho tengo, e conoscer su complexion; e déuese detardar con ella, burlándose con ella e haziéndole de la tetas e apretándogelas, e a vezes ponerle la mano en el papagayo, e otras vezes tenerla encima de si, e a vezes de baxo. E haga por tal manera que las voluntades de los dos vengan a vn tiempo. E si por ventura la muger veniere a complir su voluntad mas ayna que el hombre";intransitivo;si;con;imperfectivo;animado;;
1251 [finales del s. XIV-primer tercio del s. XV] ANÓNIMO, Calila e Dimna [España] [Juan Manuel Cacho Blecua/María Jesús Lacarra, Madrid, Castalia, 1993] Relatos;R;ANÓNIMO;Calila e Dimna;1251[finales del s. XIV-primer tercio del s. XV] ;Relatos;España;Et ellos burlaron dél porque non la sabía entender, et los sabios toviéronlo por muy gran neçio.;intransitivo;no;si;imperfectivo;animado;;
1251 [finales del s. XIV-primer tercio del s. XV] ANÓNIMO, Calila e Dimna [España] [Juan Manuel Cacho Blecua/María Jesús Lacarra, Madrid, Castalia, 1993] Relatos;R;ANÓNIMO;Calila e Dimna;1251[finales del s. XIV-primer tercio del s. XV] ;Relatos;España;se acuerdan las almas de las leyes. Et detove mi mano de ferir et de abiltar et de robar et de furtar et falsar. Et guardé el mi cuerpo de las mugeres, et mi lengua de mentir et de toda razón que daño fuese a alguno. Et detóveme de fazer mal a los omnes nin de burlar et escarneçer de ninguno et de quantas malas costunbres pude. Et trabajéme con mi razón de non querer mal a ninguno et de non desmentir la verdad nin el día del juizio et el gualardón et la pena.;intransitivo;no;si;imperfectivo;animado;;escarnecer
1292-1293 [s. XV] ANÓNIMO, Castigos del rey don Sancho IV [España] [Hugo Óscar Bizzarri, Frankfurt am Main-Madrid, Vervuert-Iberoamericana, 2001] Educación;R;ANÓNIMO;Castigos del rey don Sancho IV;1292-1293[s. XV] ;Educación;España;ella. E por el grand pesar que ende ouo, subió en vna torre muy alta, e parose entre las almenas, e començó a razonar con el pueblo que estaua ý junto diziéndoles muchas cosas en que pudiesen beuir, e de la su suerte ventura por ella ser casada con tal omne que así la auía burlado. E tomó vn espada, e metiósela por los pechos, e dexose caer, e dio tal ferida en tierra que luego fue muerta. E así acabó la reyna Dido su vida por el despecho que ouo de las trayçiones que fazía Eneas. E si más conplido esto quieres saber, vete a la Estoria Romana;transitivo;;;;;;
c1300-1325 [finales del s. XIV o principios del s. XV] ANÓNIMO, Cuento muy fermoso de Otas de Roma [España] [Herbert L. Baird, Jr., Madrid, Real Academia Española, 1976] Novela;R;ANÓNIMO;Cuento muy fermoso de Otas de Roma;c1300-1325[finales del s. XIV o principios del s. XV] ;Novela;España;Aquel día que llegó Macaire, asentóse ala mesa con los otros cavalleros. E desque comieron, cató lo Terrín e començó a burlar. E díxole desta guisa:;absoluto;no;si;perfectivo;animado;;no reflexiva
1300-1305 [último tercio del s. XV] ANÓNIMO, Libro del cavallero Cifar [España] [Juan Manuel Cacho Blecua, Zaragoza, Universidad de Zaragoza, 2003] Novela;R;ANÓNIMO;Libro del cavallero Cifar;1300-1305[último tercio del s. XV] ;Novela;España;"Este cuento deste cavallero atrevido vos conté porque  ninguno no deva creer ni se poner en poder de aquel que no conosce ni se mueva por lisonjas ni por promessas, mayormente en lugar peligroso, que por ventura podría fallarse burlado; mas siempre deve huir las cosas dubdosas, en especial si siente en ellas aver algún peligro, assí como fizieron los del reino de Mentón, que luego que ellos vieron el peligro de aquel lago, se partieron de allí y se fueron para su señor. E quando el Rey supo aquellas maravillas que se hazían allí y";no;;;;;;
1300-1305 [último tercio del s. XV] ANÓNIMO, Libro del cavallero Cifar [España] [Juan Manuel Cacho Blecua, Zaragoza, Universidad de Zaragoza, 2003] Novela;R;ANÓNIMO;Libro del cavallero Cifar;1300-1305[último tercio del s. XV] ;Novela;España;— Dueña —dixo la Infanta—,  ruégovos que no vos atreváis a tanto en vuestro buen dezir ni queráis provar assí los hombres ni los queráis ahincar de quanto devéis, que por ventura cuidaréis provar & provarvos han o por ventura querréis burlar & burlarvos han.;absoluto;;;;;;
1300-1305 [último tercio del s. XV] ANÓNIMO, Libro del cavallero Cifar [España] [Juan Manuel Cacho Blecua, Zaragoza, Universidad de Zaragoza, 2003] Novela;R;ANÓNIMO;Libro del cavallero Cifar;1300-1305[último tercio del s. XV] ;Novela;España;— Dueña —dixo la Infanta—,  ruégovos que no vos atreváis a tanto en vuestro buen dezir ni queráis provar assí los hombres ni los queráis ahincar de quanto devéis, que por ventura cuidaréis provar & provarvos han o por ventura querréis burlar & burlarvos han.;transitivo;;;;;;
1325-1335 [finales del s. XIV  o principios del s. XV] MANUEL, JUAN , El Conde Lucanor [España] [Guillermo Serés, Barcelona, Crítica, 1994] Relatos;R;MANUEL, JUAN ;El Conde Lucanor;1325-1335[finales del s. XIV  o principios del s. XV] ;Relatos;España;Cuando el Mal esto oyó, fue al Bien et díxol, riendo et burlando, que le rogava que le fiziesse dar la leche a su fijo. Et el Bien dixo que la leche era de su parte et que non lo faría. Et cuando el Mal esto oyó, començól de affincar ende. Et desque el Bien vio la priessa en que estava el Mal, díxol:;absoluto;;;;;;
1330-1343 [s. XV (c1415)] RUIZ, JUAN (ARCIPRESTE DE HITA), Libro de buen amor [España] [Alberto Blecua, Madrid, Cátedra, 1992] Verso;;RUIZ, JUAN (ARCIPRESTE DE HITA);Libro de buen amor;1330-1343[s. XV (c1415)] ;Verso;España;"de priessa, ¡sí Dios de mal me guarde!» Assañóse contra mí, resçelé e fui covarde.  Sacóme de la choça, e llegóme a dos senderos: anbos son bien usados e anbos son camineros; andit lo más que pud aína los oteros, llegué con sol tenprano al aldea de Ferreros.   D'esta burla passada fiz un cantar atal: non es mucho fermoso creo que nin comunal; fasta que el libro entiendas, d'él bien non digas nin mal, ca tú entenderás uno e el libro dize ál.";no;;;;;;
1330-1343 [s. XV (c1415)] RUIZ, JUAN (ARCIPRESTE DE HITA), Libro de buen amor [España] [Alberto Blecua, Madrid, Cátedra, 1992] Verso;;RUIZ, JUAN (ARCIPRESTE DE HITA);Libro de buen amor;1330-1343[s. XV (c1415)] ;Verso;España;"laçio;  quiero ir a dezírgelo —¡yuy!, ¡cómo me engraçio!—; yo·l faré cras que venga aquí, a este palaçio.»  La dueña dixo: «Vieja, ¡guárdeme Dios de tus mañas! Ve, dil que venga cras ante buenas conpañas: fablarme ha buena fabla, non burla nin picañas, e dil que non me diga de aquestas tus fazañas.»  Vino mi leal vieja, alegre, plazentera; ante del «¡Dios vos salve!», dixo la mensajera: «Sé que el que al lobo enbía, ¡a la fe!, carne espera, la buena corredera ansí";no;;;;;;
