BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAÍS;ZONA;TIPOLOGÍA;NOTAS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
Naveros, Miguel: Al calor del día. Madrid: Alfaguara, 2001.;Naveros, Miguel;Al calor del día;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;"ti mismo?"", lo pinchó, y Antonio lo encaró con un pretendido enfado que no podía disimular la satisfacción de su gesto jubiloso: ""Por las dos cosas, Dani, y por la dedicatoria que iba a poner: Al profesor Daniel Garrido, el corruptor de alumnos que dejó chico a Sócrates"", carcajeó, y volvió a la conversación interrumpida: lo sabía todo de la ciudad, no en vano había estado en Telefónica a cargo del departamento de pinchazos policiales, bromeó, y giró con solemnidad la cabeza de lado a lado del comedor: ""Del abogaducho hampón y malencarado que se acaba de ir te";si;no;no;perfectivo;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;la electricidad no sustituye a una esposa,         y decía: uno debe esforzarse, codiciar, padecer, anhelar, ¡tener una ambición!, para cubrir las ausencias, para         -¡Lucas!         cuando mama, el niño mudo hace mamam mamam y yo siento un agujero negro en el pecho         feliz feliz feliz         venía carcajeándose, borracho de risa por el camino, se trata de ser feliz, decía, la felicidad como deber, como conquista de la existencia pero, y mirando al cielo, decía: ¿ésa es la posibilidad de la existencia ante la que todos caen rendidos como perros?, y si yo no quiero;si;si;no;gerundio;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;Daba palos de gato ciego -se carcajeó el otro buscando la aprobación en la mirada de Leocadia.;si;si;no;perfectivo;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;-Pues no suelo hacerlo -se carcajeó-. Me fijo más en las mujeres. ¿Qué les ocurre a las vacas? ¿No dan leche?;si;si;no;perfectivo;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;Dio un portazo, cogió la azada y se marchó carcajeándose. Atravesó la plaza con mucha pompa, haciendo bailar el brazo libre a un lado y a otro, mirando al suelo para soslayar las rugosidades. Una voz le detuvo.;si;si;no;gerundio;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;, formuló una al verle, uno puede detener el tiempo, dejar que el mundo siga sin estar en él. El hombre, apostado en la penumbra, era nube de polvo y estaba sucio. Al verlas ahí, fosforescentes como las yeguas, dos, cuatro, diez, diecinueve, se carcajeó aún más fuerte. ¿Por qué no me dejáis en paz?, su risa era caliente y nociva, la voz le salía quebrada, nunca supe quién es Dios, dijo arrancándose a manotazos el polvo de la chaqueta, como si arrancándose el polvo de la chaqueta se arrancara algo más, la responsabilidad;si;si;no;perfectivo;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;-¡Ay, mi Puzita! -se carcajeó el otro.;si;si;no;perfectivo;animado;;
Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.;Sánchez-Andrade, Cristina;Bueyes y rosas dormían;2001;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;No siempre hay coincidencia entre párrafo y salto de línea;-Pues algo del hielo si se le ha pegado... -se carcajeó-. ¡Qué frialdad la suya! No le saco ni una palabra de más. ¡Oh, ciertamente, ni una sola palabra de más!;si;si;no;perfectivo;animado;;
Talens, Manuel: «Presencia del abuelo». Rueda del tiempo. Barcelona: Tusquets Editores, 2001.;Talens, Manuel;Rueda del tiempo;2001;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;", con el gayato. ¿Y cómo es eso, tío Roberto? Pues muy fácil, Inocencio, me voy al monte con el perro y si me trae algo en el hocico, bien, y si no, igual le pego un gayatazo a la primera liebre que pase por mi lao. Cómo se carcajeaba el muy cabrón. Aquel día fue el tío Roberto quien me tomó el pelo"".";si;si;no;imperfectivo;animado;;
Mora, Miguel: «SANTIAGO SEGURA». El País. Madrid: elpais.com, 2001-03-31.;Mora, Miguel;El País;2001;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;;Reportaje;;El único reto, según repite Segura todo el tiempo, no es tanto ganar más dinero (que también: él siempre quiso ser rico, tener una casa de 200 metros, seis mucamas y seis mayordomos) como competir dignamente con el cine de entretenimiento americano y volver a hacer sonreír, reír y carcajearse a esa enorme masa que va al cine 'a comer palomitas y pasarlo bien'.;si;si;no;infinitivo;animado;causativa;
