BIBLIOGRAFÍA;AUTOR;CORDEMÁFORO;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
c1140 [s. XIV] ANÓNIMO, Poema de Mio Cid [España] [Alberto Montaner, Barcelona, Crítica, 1993] Verso;ANÓNIMO;R;Poema de Mio Cid;c1140[s. XIV] ;Verso;España;"A guisa de menbrados, andan días e noches, felos en Valencia con mio Cid el Campeador, por malos los dexaron a los ifantes de Carrión, conplido han el debdo que les mandó so señor; alegre fue d'aquesto mio Cid el Campeador. Grant es la biltança de ifantes de Carrión: qui buena dueña escarnece e la dexa después atal le contesca o siquier peor.  Dexémosnos de pleitos de ifantes de Carrión, de lo que an preso mucho an mal sabor; fablemos nós d'aqueste que en buen ora nació: grandes son los goços en Valencia la mayor porque tan ondrados fueron los del Canpeador. Prísos' a la barba Ruy Díaz,";transitivo;;;;;;
c1200 [s. XIII] ALMERICH, La fazienda de Ultra Mar [España] [Moshé Lazar, Salamanca, Universidad de Salamanca, 1965] Religión;ALMERICH;A;La fazienda de Ultra Mar;c1200[s. XIII] ;Religión;España;"quet faga?"" Dixo Giezi: ""De cierto, fijo no a, e so marido e * es vieio"". Dixo Helyseus: ""Clamala"". * E estido delant el. Dixo Helyseus: ""Ad .i. ano, * estos  dias, avras fijo"". E dixol ella: ""No escarnescas a tu manceba"". * Enprenos la mugier e pario fijo al plazo que dixo Eliseus. Crescio el mancebo e fue con so padre a los segadores, e prisol mal a la cabeça e murio. E diol * a su madre. Ella echol en el lecho del varon de Dios, e cerro";transitivo;;;;;;
c1200 [s. XIII] ALMERICH, La fazienda de Ultra Mar [España] [Moshé Lazar, Salamanca, Universidad de Salamanca, 1965] Religión;ALMERICH;A;La fazienda de Ultra Mar;c1200[s. XIII] ;Religión;España;"Veno a el al mont e echos a sos pies. Veno Giezi por tollerla. * Dixo Eliseus: ""Dexala, su alma amarga es. El Criador celos de mi e non lo fizo saber"". Dixo ella: ""Si pedi fijo al mio Sennor? E non te dix: non me escarnescas"". Dixo Heliseus a Giezi: ""Cin tos lonbos e prent to blago en tu mano e ve; si fallares omne en la via non le saludes, * e sit saluare alguno, nol repondas; e pon myo blago sobrel mancebo"". Dixo ella: ""Viva el Criador e viva tu";transitivo;;;;;;
1240-1250 [principios del s. XV] ANÓNIMO, Libro de Alexandre [España] [Jesús Cañas, Madrid, Cátedra, 1988] Verso;ANÓNIMO;R;Libro de Alexandre;1240-1250[principios del s. XV] ;Verso;España;"merçed al Crïador; e por cavallería, Éctor non es mejor, ond pareçe que Pallas es bien baratador.  De lo que non as mengua ellas assaz prometen; non lo fazen por al, si non que te abeten; qualque les es contrario, ellas aquesso temen; si lo bien entendiesses, mucho te escarneçen.  Lo que pora ti es, ond' as tú de pujar, lo que fijo de rey ha siempre de buscar, todo yaz' en mi mano el toller e el dar, ca, si por mí non fuere, non podrás bien casar.  Dart' e yo casamiento, muger qual tú quisieres, por casar o";transitivo;;;;;;
1240-1250 [principios del s. XV] ANÓNIMO, Libro de Alexandre [España] [Jesús Cañas, Madrid, Cátedra, 1988] Verso;ANÓNIMO;R;Libro de Alexandre;1240-1250[principios del s. XV] ;Verso;España;".  Quando se catan bien vassallos e señores, cavalleros e clérigos, en buelta labradores, abades e obispos con los otros pastores, en todos ave tachas de diversas colores.  Por esso el pecado ave tan grant poder, faze enamistades a los omes bolver, hermanos con hermanas fázelos contender, busca como nos pueda peor escarneçer.  Faz contra los señores los vasallos armar, lo que es fiera cosa, fazelos amatar; siglo que veemos tan sin regla andar, quanto mejor pudiéssemos nos devriemos guardar.  Los griegos quand' a Dario ovieron soterrado, tovieron que avían su pleito acabado; todos querién tornar a sus casas de grado, si del rey";transitivo;;;;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;"[22] Non querades mucho reir sin escarnescer. E si viéredes en alguno alguna lisión o alguna tacha o otro estado feo, non lo denostedes nin lo escarnescades, e tornad-vos a Dios que todos sodes omes criados de una materia. E aquel que escarnesce, non es seguro de aver otro tal adelante; pues conviene-vos que, quando los viéredes, que alcedes";si;no;no;infinitivo;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;"[22] Non querades mucho reir sin escarnescer. E si viéredes en alguno alguna lisión o alguna tacha o otro estado feo, non lo denostedes nin lo escarnescades, e tornad-vos a Dios que todos sodes omes criados de una materia. E aquel que escarnesce, non es seguro de aver otro tal adelante; pues conviene-vos que, quando los viéredes, que alcedes vuestros ojos a Dios, e que le gradescades por la salud que vos dió, e que le pidades merced que";transitivo;;;;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;"[22] Non querades mucho reir sin escarnescer. E si viéredes en alguno alguna lisión o alguna tacha o otro estado feo, non lo denostedes nin lo escarnescades, e tornad-vos a Dios que todos sodes omes criados de una materia. E aquel que escarnesce, non es seguro de aver otro tal adelante; pues conviene-vos que, quando los viéredes, que alcedes vuestros ojos a Dios, e que le gradescades por la salud que vos dió, e que le pidades merced que vos guarde.";si;no;no;imperfectivo;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;[59] Nunca rescibió la mi alma pesar, si non de tres cosas: De rico que vino a pobreza, e de onrrado que rescibió quebranto, e de sabio que le escarnescieron los nescios.;transitivo;;;;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;[36] Los francos escarnescen a los escasos en la su muerte, e los escasos a los francos, en su pobredat.;transitivo;;;;;;
