BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
c1500 [s. XVI (1521)] ANÓNIMO, Comedia Thebayda [España] [José Luis Canet, Valencia, UNED-Universidad de Sevilla-Universidad de Valencia, 1993] Teatro;ANÓNIMO;Comedia Thebayda;c1500[s. XVI (1521)] ;Teatro;España;Amintas. Siempre lo haze assí, que este es su oficio y, la verdad, él no tiene otra grangería salvo regozijarnos a todos. Y por mi fe, que no valdríemos nada sin él.;transitivo;;;;;;
c1509 ENCINA, JUAN DEL, Égloga de Cristino y Febea [España] [Miguel Ángel Pérez Priego, Madrid, Cátedra, 1991] Verso;ENCINA, JUAN DEL;Égloga de Cristino y Febea;c1509;Verso;España;Justino Bien lo creo, juro a nos, según sos, Cristino, regozijado, aun quiçás con el ganado servirás mejor a Dios.;no;;;;;;
1514 FERNÁNDEZ, LUCAS, Égloga o farsa del Nascimiento de Nuestro Redemptor [España] [María Josefa Canellada, Madrid, Castalia, 1976] Verso;FERNÁNDEZ, LUCAS;Égloga o farsa del Nascimiento de Nuestro Redemptor;1514;Verso;España;jatándose de ser zagal muy sabido, y muy polido y esforçado, * y mañoso y de buen linaje. Y entra Gil, el qual selo contradize y disfraça. * Y el tercero recitador es Macario. Entra para darles esposición del Nascimiento. Y el quarto * es Marcelo. El qual viene muy regocijado a contarles cómo * es nascido ya el Salvador. Y finalmente se van todos a le adorar cantando * el villancico que en fin es escrito, en canto de órgano. Et incipit feliciter sub correptione sancte matris ecclessiae.;no;;;;;;
1514 FERNÁNDEZ, LUCAS, Auto o farsa del Nascimiento de Nuestro Señor [España] [María Josefa Canellada, Madrid, Castalia, 1976] Verso;FERNÁNDEZ, LUCAS;Auto o farsa del Nascimiento de Nuestro Señor;1514;Verso;España;, sino sólo con creer.  No hay redemio, no ay hemencia de poder cholla alcançar a poder perquillotrar cómo fué aquesta nacencia. Ni con cencia ni sabencia, ni con saber ni entender, no se puede conoscer.   Tomemos mill gasajados, calquemos mill çapatetas, cantemos mill chançonetas y mill sones perchapados. Alegres, regozijados, vamos todos esto a ver a Bethlén, sin detener.;no;;;;;;
c1518-1524 LÓPEZ DE YANGUAS, FERNÁN, Farsa del Mundo y moral. [España] [Fernando González Ollé, Madrid, Espasa-Calpe, 1967] Verso;LÓPEZ DE YANGUAS, FERNÁN;Farsa del Mundo y moral.;c1518-1524;Verso;España;bien tan sobrado y tan fuera de quicios? ¿Cuándo yo hize al Mundo servicios por do tanta cuenta hiziesse de mí? En toda mi vida señor conoscí que diesse señales de tan liberal. A muchos he visto que dizen de él mal y, no conosciéndole, infaman ansí. Prosigue: ¡Con qué regozijo, después que me vio, holgó de por suyo a deshora tomarme y quiso su estado también recontarme, puesto que, en suma, la cuenta me dio! ¡En cuántas maneras se me convidó pagarme el servicio de mi trabajar! Y, en fin de razones, por más me obligar, a Venus, su hermana;no;;;;;;
c1525-1547 SÁNCHEZ DE BADAJOZ, DIEGO, Farsa del molinero [España] [Miguel Ángel Pérez Priego, Madrid, Cátedra, 1985] Verso;SÁNCHEZ DE BADAJOZ, DIEGO;Farsa del molinero;c1525-1547;Verso;España;", en su cuerpo divinal convertió el pan material * para nuestra salvación; nunca fue tan alto don del cielo hasta el abismo: dársenos Dios a sí mismo por nuestra consolación. Y por esto festejamos, y aun cierto con mucha falta, fiesta de merced tan alta en que a Dios comunicamos; nuestro bien regozijamos.";transitivo;;;;;;
c1525-1547 SÁNCHEZ DE BADAJOZ, DIEGO, Farsa del molinero [España] [Miguel Ángel Pérez Priego, Madrid, Cátedra, 1985] Verso;SÁNCHEZ DE BADAJOZ, DIEGO;Farsa del molinero;c1525-1547;Verso;España;"contento desseado; mas en el campo hordenado también ay trompas y sones que animan los coraçones del cavallero esforçado; y por esto festejamos en la Iglesia militante, porque el alma se levante al premio que desseamos; aun el Domingo de Ramos, siendo día de passión, haz la Iglesia processión con que nos regozijamos. *";si;si;con;imperfectivo;animado;;
c1525 SÁNCHEZ DE BADAJOZ, DIEGO, Farsa teologal [España] [Miguel Ángel Pérez Priego, Madrid, Cátedra, 1985] Verso;SÁNCHEZ DE BADAJOZ, DIEGO;Farsa teologal;c1525;Verso;España;"CURA ¡O, santa Virgen María! Quédese para otro día que yo la haré aprender; porque agora no consiento que en esto más platiquemos, antes nos regozijemos  hablando del Nascimiento. *";si;si;no;imperfectivo;animado;;
1528 DELICADO, FRANCISCO, La Lozana Andaluza [España] [Claude Allaigre, Madrid, Cátedra, 1994] Novela;DELICADO, FRANCISCO;La Lozana Andaluza;1528;Novela;España;"se hiciese, munchas más vernían, y sería como en las batallas cuando echan delante la gente armada, y a la postre, cuando van faltando éstos, los peones y hombres d'armas, y esles fuerza pelear a ellos y a los otros que esperaban seguir vitoria que, si bien vencen el campo, no hay quien lo regocije como en la de Ravena, ni quien favorezca el placer que consiguen por ser pocos y solos, que no tienen quien los ayude a levantar; y así esperan la luna de Boloña, que es como el socorro de Scalona. Ansí que, tornando  al propósito, quiero decir que, cuando a las perdidas";transitivo;;;;;;
1528 DELICADO, FRANCISCO, La Lozana Andaluza [España] [Claude Allaigre, Madrid, Cátedra, 1994] Novela;DELICADO, FRANCISCO;La Lozana Andaluza;1528;Novela;España;las que son buenas no son tanto participadas en común, por tanto, munchas virtudes están tácitas y ocultas que serían espejo a quien las oyese contar. Y como la mujer sea jardín del hombre, y no hay cosa en este  mundo que tanto realegre al hombre esterior, y que tanto y tan presto le regocije, porque no solamente el ánima del hombre se alegra en ver y conversar mujer, mas todos sus sentidos, pulsos y miembros se revivifican incontinente. Y si hobiese en la mujer modestia, y en el hombre temperanza honesta, gozarían con temor lo que, con temerosa audacia, ciega la impaciencia, ansí a;transitivo;;;;;;Lo considero transitivo, supongo que alternancia dativo-acusativo
