"BIBLIOGRAFÍA";"AUTOR";"TÍTULO";"FECHA";"TEMA";"PAÍS";"CONCORDANCIA"
"1975 URRUTIA, JORGE, Sistemas de comunicación [España] [Barcelona, Planeta, 1975] Medios de comunicación";"URRUTIA, JORGE";"Sistemas de comunicación";1975;"Medios de comunicación";"España";"que      hemos visto, sino de dos signos que se unen por su valor fonético, por su valor sonoro. Las escrituras que utilizan fonogramas se llaman escrituras fonéticas. Conviene indicar que el chino posee también fonogramas, aunque de una composición especial. Un componente da la pronunciación y otro el sentido. Así, k'o, río, se escribe ko, fruto, + shin, agua."
"1975 JIMÉNEZ VARGAS, J.; LÓPEZ GARCÍA, G., ¿A qué se llama aborto? [España] [Barcelona, MagisterioEspañol; Prensa Española, 1975] Medicina";"JIMÉNEZ VARGAS, J.; LÓPEZ GARCÍA, G.";"¿A qué se llama aborto?";1975;"Medicina";"España";"El intrusismo de todos esos morbosamente desequilibrados es, con mucho, el factor etiológico más grave de degradación del matrimonio en nuestro país, y es lo que ha dado ese carácter de normalidad al uso masivo de contraceptivos. Cuando se les advierte del efecto abortivo de la mayoría de los preparados y del dispositivo intrauterino, se ríen. Y esto ha sido el paso decisivo al aborto con cualquier técnica, en tantos casos, de los cuales en cualquier servicio clínico encontramos ejemplos demostrativos."
"1975 ARRABAL, FERNANDO, El Arquitecto y el Emperador de Asiria [España] [Madrid, Cátedra, 1993] Teatro";"ARRABAL, FERNANDO";"El Arquitecto y el Emperador de Asiria";1975;"Teatro";"España";"Arquitecto.— ¿Por qué ríes, maestro?"
"1975 ARRABAL, FERNANDO, El Arquitecto y el Emperador de Asiria [España] [Madrid, Cátedra, 1993] Teatro";"ARRABAL, FERNANDO";"El Arquitecto y el Emperador de Asiria";1975;"Teatro";"España";"Emperador.— ¿Te ríes de mí? (Pausa.) ¿Haces de novia?"
"1975 ARRABAL, FERNANDO, El Arquitecto y el Emperador de Asiria [España] [Madrid, Cátedra, 1993] Teatro";"ARRABAL, FERNANDO";"El Arquitecto y el Emperador de Asiria";1975;"Teatro";"España";"Emperador.— ¿Te atreves a reírte de mi literatura? Has de saber que fui premio... Pero ¿cómo se llamaba ese premio, hombre?"
"1975 ARRABAL, FERNANDO, El Arquitecto y el Emperador de Asiria [España] [Madrid, Cátedra, 1993] Teatro";"ARRABAL, FERNANDO";"El Arquitecto y el Emperador de Asiria";1975;"Teatro";"España";"haber desconocido siempre  mis méritos e ignorado quién soy, lo que valgo, y perdonaré, y perdonaré, y perdonaré... (Inquieto mira para un lado y otro y mientras habla construye un espantapájaros que pone en el trono.) ¡Ah, encadenado, y al fin solo! Nadie me contradirá, nadie se reirá más de mí, nadie verá mis flaquezas. ¡Encadenado! ¡Qué felicidad! ¡Vivan las cadenas! Mi universo, una circunferencia cuyo radio tiene la longitud de la cadena... (La mide.) Digamos, tres metros. (Vuelve a medir.) ...Es decir... es decir, dos metros y"
"1975 PINILLOS, JOSÉ LUIS, Principios de psicología [España] [Madrid, Alianza, 1995] Psicología";"PINILLOS, JOSÉ LUIS";"Principios de psicología";1975;"Psicología";"España";"confundían mi vista de tal forma que no podía ver nada.» Voltaire, en sus Eléments de la philosophie de Newton, se había anticipado ya a estas descripciones, previstas también por Berkelev y Locke, y confirmadas por un cirujano inglés llamado Cheselden, que fue aparentemente un Senden avant la lettre. Muchos trabajos contemporáneos, por ejemplo, los que Riesen llevó a cabo con chimpancés criados en oscuridad absoluta, etc., han confirmado hasta la saciedad la necesaria contribución de la experiencia  al desarrollo de la percepción. En realidad, la información visual de los citados pacientes indica que desde el primer momento se manifestaban sus perceptos, si así podía denominarse a lo que veían, articulados en una confusa articulación"
"1975 PINILLOS, JOSÉ LUIS, Principios de psicología [España] [Madrid, Alianza, 1995] Psicología";"PINILLOS, JOSÉ LUIS";"Principios de psicología";1975;"Psicología";"España";"Riesen (1950), por ejemplo, demostró que la falta de estimulación luminosa durante los primeros meses de vida, produce en los chimpancés atrofias parciales de la retina y del cártex visual, así como otros trastornos conductuales secundarios. Sometiendo a confinamiento a unos cachorros de perro, Scott (1968) ha demostrado también que, privados de"
"1975 PINILLOS, JOSÉ LUIS, Principios de psicología [España] [Madrid, Alianza, 1995] Psicología";"PINILLOS, JOSÉ LUIS";"Principios de psicología";1975;"Psicología";"España";"de observar, y eventualmente medir o controlar, lo que una persona hace  o dice, o sea, su conducta. De hecho es así, en estos expeditivos términos, como de ordinario se despacha en los textos la cuestión del objeto de la psicología, acaso iluminada por la adición de algunos ejemplos de actividades observables, tales como reír, desayunar o montar en bicicleta. La psicología, se insiste, trata de encontrar un orden en semejantes actividades, mediante observaciones objetivas similares a las que se efectúan en otras ciencias más avanzadas, bien entendido, eso sí, que a costa de posponer para mejor ocasión el eventual esclarecimiento de lo que podría ser una conducta «"
"1975 GALA, ANTONIO, ¿Por qué corres, Ulises? [España] [Madrid, Editorial Espasa Calpe, 1994] Teatro";"GALA, ANTONIO";"¿Por qué corres, Ulises?";1975;"Teatro";"España";"(Ulises y Nausica se miran y se ríen.)"
