"EjemploID";"BIBLIOGRAFIA";"Cordemaforo";"AUTOR";"TITULO";"FECHA";"TEMA";"PAIS";"CONCORDANCIA";"Valido";"Reflexivo";"Complemento_de";"Aspecto_verbal";"Sujeto";"Perifrasis";"Observaciones"
17;"c1236 [finales del s. XIII] BERCEO, GONZALO DE, Vida de Santo Domingo de Silos [España] [Aldo Ruffinatto, Madrid, Espasa-Calpe, 1992] Verso";"A";"BERCEO, GONZALO DE";"Vida de Santo Domingo de Silos";"c1236[finales del s. XIII] ";"Verso";"España";"En claustra ni en coro, ni en otro lugar que vedava la regla, él non querié fablar; quiquiere que en cierto lo quisiesse buscar, fosse a la eglesia, acerca del altar.  Si ad opera manum los mandavan exir, bien sabié el bon omne en ello abenir, por nulla jonglería non lo farién reír, nin liviandad ninguna de la boca decir.  Porque era tan bono, el fraire tan onesto, e la obedïencia lo trovava tan presto, e de tan bona guisa era todo su gesto, algunos avié dellos que les pesava esto.  Si los otros sus fradres lo quisiessen sofrir, élli de la eglesia nunquan";"si";"no";"no";"infinitivo";"animado";"causativa";
75;"1279 [s. XIII (1279)] ALFONSO X, Libro de las formas y de las ymágines [España] [Pedro Sánchez-Prieto Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2003] Astronomía";"V";"ALFONSO X";"Libro de las formas y de las ymágines";"1279[s. XIII (1279)] ";"Astronomía";"España";"El .xi. pora fazer las yentes reyr & seer feminino.";"si";"no";"no";"infinitivo";"animado";"causativa";
76;"1279 [s. XIII (1279)] ALFONSO X, Libro de las formas y de las ymágines [España] [Pedro Sánchez-Prieto Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2003] Astronomía";"V";"ALFONSO X";"Libro de las formas y de las ymágines";"1279[s. XIII (1279)] ";"Astronomía";"España";"El .viij. pora seer ioglar que fara los omnes reyr & entendudo.";"si";"no";"no";"infinitivo";"animado";"causativa";
77;"1279 [s. XIII (1279)] ALFONSO X, Libro de las formas y de las ymágines [España] [Pedro Sánchez-Prieto Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2003] Astronomía";"V";"ALFONSO X";"Libro de las formas y de las ymágines";"1279[s. XIII (1279)] ";"Astronomía";"España";"El .xi. pora fazer a los omnes reyr & fazedor de bien.";"si";"no";"no";"infinitivo";"animado";"causativa";
78;"1279 [s. XIII (1279)] ALFONSO X, Libro de las formas y de las ymágines [España] [Pedro Sánchez-Prieto Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2003] Astronomía";"V";"ALFONSO X";"Libro de las formas y de las ymágines";"1279[s. XIII (1279)] ";"Astronomía";"España";"El .xij. pora seer caminero ioglar & fazer a los omnes reyr.";"si";"no";"no";"infinitivo";"animado";"causativa";
95;"c1285 [s. XV] ANÓNIMO, Libro de los cien capítulos [España] [Marta Haro Cortés, Frankfurt am Main-Madrid, Vervuert-Iberoamericana, 1998] Historia";"R";"ANÓNIMO";"Libro de los cien capítulos";"c1285[s. XV] ";"Historia";"España";". Sey apercebido e sabe en que se an de encimar las cosas. Mayor grado deves aver al que te metiere miedo fasta que llegues a salvo que al que te asegurare fasta que te ayas a meter en lugar de miedo. Cerca de la segurança á miedo e cerca del miedo á segurança. E el que te fiziere reír non te quiere salvar; siempre te guía más por los que te fazen llorar que por los que te fazen reír. Más vale arte que ventura. La pereza e la mala guarda aduze  al omne a suerte de muerte. Quien demanda la cosa ante d'ora averla á con ora e qui la demandare con ora";"si";"no";"no";"infinitivo";"animado";"causativa";
96;"c1285 [s. XV] ANÓNIMO, Libro de los cien capítulos [España] [Marta Haro Cortés, Frankfurt am Main-Madrid, Vervuert-Iberoamericana, 1998] Historia";"R";"ANÓNIMO";"Libro de los cien capítulos";"c1285[s. XV] ";"Historia";"España";"metiere miedo fasta que llegues a salvo que al que te asegurare fasta que te ayas a meter en lugar de miedo. Cerca de la segurança á miedo e cerca del miedo á segurança. E el que te fiziere reír non te quiere salvar; siempre te guía más por los que te fazen llorar que por los que te fazen reír. Más vale arte que ventura. La pereza e la mala guarda aduze  al omne a suerte de muerte. Quien demanda la cosa ante d'ora averla á con ora e qui la demandare con ora non la avrá a su ora.";"si";"no";"no";"infinitivo";"animado";"causativa";
138;"1337-1348 [finales del s. XIV o principios del s. XV] MANUEL, JUAN, Libro de la caza [España] [Juan Manuel Blecua, Madrid, Gredos, 1981] Aficiones";"R";"MANUEL, JUAN";"Libro de la caza";"1337-1348[finales del s. XIV o principios del s. XV] ";"Aficiones";"España";"et entra en Xucar deyuso de Cuenca; et en este arroyo ay anades et pueden se matar con falcones, mas ay en el muy malos pasos. Las lagunas de Fuentes ... ... ... et de Balesteros ay muchas anades et muchos gallarones; et la caça de los gallarones es muy sabrosa et muy aparejada para fazer reyr et tomar plazer a los que la caçan, et al passo ay muchas garças, et al tienpo de las vuas et de la cemencera muchas gruas, et avn en iuierno ay algunas gruas de morada. El arroyo de Guardarahon nace en la sierra ... ... ... sobre Valdemoro, aldea de ... ... ...";"si";"no";"no";"infinitivo";"animado";"causativa";
139;"1337-1348 [finales del s. XIV o principios del s. XV] MANUEL, JUAN, Libro de la caza [España] [Juan Manuel Blecua, Madrid, Gredos, 1981] Aficiones";"R";"MANUEL, JUAN";"Libro de la caza";"1337-1348[finales del s. XIV o principios del s. XV] ";"Aficiones";"España";", sol que las vestias non naden, que todos son buenos pasos et non los deuen dubdar los buenos caçadores; mas los que son de grandes çienos o tremedales o que han las riberas altas, avn que sean estrechas, dize que en tales lugares a las vezes salen bien et a las vezes caen y, en guisa que fazen reyr et tomar tanto plazer a los que lo veen, commo en la otra caça que fazen. Et avn dize que sienpre ovo el por costumbre de engannar muy de grado a los que andan con el a caça por les fazer entrar en tales lugares que cayan o lleguen a tal lugar que se ayan a reyr dellos";"si";"no";"no";"infinitivo";"animado";"causativa";
298;"1446-1447 [mediados del s. XV] DÍAZ DE TOLEDO, PERO, Traducción del Libro llamado Fedrón, de Platón [España] [Nicholas G. Round, Londres, Támesis, 1993] Novela";"V";"DÍAZ DE TOLEDO, PERO";"Traducción del Libro llamado Fedrón, de Platón";"1446-1447[mediados del s. XV] ";"Novela";"España";"Como aquesto oyó Symias, dixo riendo: ""Yo te digo, Sócrates, verdad: ¡por el dios Apollo, que caso que non aya voluntad de reir, me has fecho reir aunque non quiera! E yo me pienso que todo el pueblo conosca, * e se pueda con verdad dezir, e aún, si converná, deffenderlo —en especial, lo que vuestros discípulos dizen— por los philósophos: conviene a saber que qualesquier que philosophan * verdaderamente  son muertos; mas a * éstos non les";"si";"no";"no";"infinitivo";"animado";"causativa";
