BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAÍS;ZONA;TIPOLOGÍA;NOTAS;CONCORDANCIA
Copépodo: «En un lugar de la Mancha». Medina, Rafael: Diario de un copépodo. copepodo.wordpress.com: copepodo.wordpress.com, 2006-03-25.;Medina, Rafael;Diario de un copépodo;2006;Primera edición;No ficción;Escrito; ;Artes, cultura y espectáculos;España;;Blog;;parece que a nuestro director más internacional o se le odia o se le adora, yo debo ser una especie de excepción porque suelo ver sus películas aunque sin ser especialmente devoto. A menudo cuento la anécdota de aquella vez que vi La mala educación en un cine de Atenas (en VOS) y la gente se reía de cosas que no tenían mucha gracia y se quedaban impasibles con los mejores puntazos, lo que me hace pensar que el humor nacional es realmente difícil de pillar y que quizá el éxito de Almodóvar en el extranjero se deba a la intervención de los extraterrestres.
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;. En él, un autor de teatro dedica toda su vida a escribir la obra perfecta y única, para ser representada en el mejor auditorio del mundo y por una única vez. Se esconde en el gallinero con una ametralladora y se dedica durante la representación a matar a todo aquel que de entre el público ría en el momento inapropiado.
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;"de manifiesto la vanidad absolutamente demencial del creador, la inseguridad de su propio proceso creativo, el odio por la humanidad y por la reacción injustificada de ésta hacia lo que él considera lo sublime: su propia obra. Un tipo tan absolutamente enloquecido ¿pudo realmente haber escrito una comedia?, es decir, el público podía reirse realmente en determinados momentos, es decir, la obra tenía una ¿trama humorística?, ¿un humor tan caleidoscópico que podía derivar en una auténtica matanza? El autor, con su metralleta, ¿pudo ir matando a lo largo de la obra a todo aquel que se ""equivocara"" al reírse?"
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;"público podía reirse realmente en determinados momentos, es decir, la obra tenía una ¿trama humorística?, ¿un humor tan caleidoscópico que podía derivar en una auténtica matanza? El autor, con su metralleta, ¿pudo ir matando a lo largo de la obra a todo aquel que se ""equivocara"" al reírse?, el resto continuaba allí, intentando reir en el justo momento, sabiendo que un error podría resultar fatal. al final todos mueren, es decir, nadie rió cuando debía reir, es algo tan desolador que nos hace reflexionar sobre el emotivo encuentro entre creador y público. ¿Era este autor teatral un"
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;", la obra tenía una ¿trama humorística?, ¿un humor tan caleidoscópico que podía derivar en una auténtica matanza? El autor, con su metralleta, ¿pudo ir matando a lo largo de la obra a todo aquel que se ""equivocara"" al reírse?, el resto continuaba allí, intentando reir en el justo momento, sabiendo que un error podría resultar fatal. al final todos mueren, es decir, nadie rió cuando debía reir, es algo tan desolador que nos hace reflexionar sobre el emotivo encuentro entre creador y público. ¿Era este autor teatral un reflejo de la propia mente de Benhard?, ¿"
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;"El autor, con su metralleta, ¿pudo ir matando a lo largo de la obra a todo aquel que se ""equivocara"" al reírse?, el resto continuaba allí, intentando reir en el justo momento, sabiendo que un error podría resultar fatal. al final todos mueren, es decir, nadie rió cuando debía reir, es algo tan desolador que nos hace reflexionar sobre el emotivo encuentro entre creador y público. ¿Era este autor teatral un reflejo de la propia mente de Benhard?, ¿se sentía Bernhard incomprendido? Yo me pregunto si también debía haber matado a todo aquel no riera cuando debía reírse, pues"
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;"con su metralleta, ¿pudo ir matando a lo largo de la obra a todo aquel que se ""equivocara"" al reírse?, el resto continuaba allí, intentando reir en el justo momento, sabiendo que un error podría resultar fatal. al final todos mueren, es decir, nadie rió cuando debía reir, es algo tan desolador que nos hace reflexionar sobre el emotivo encuentro entre creador y público. ¿Era este autor teatral un reflejo de la propia mente de Benhard?, ¿se sentía Bernhard incomprendido? Yo me pregunto si también debía haber matado a todo aquel no riera cuando debía reírse, pues ya sabemos que"
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;todos mueren, es decir, nadie rió cuando debía reir, es algo tan desolador que nos hace reflexionar sobre el emotivo encuentro entre creador y público. ¿Era este autor teatral un reflejo de la propia mente de Benhard?, ¿se sentía Bernhard incomprendido? Yo me pregunto si también debía haber matado a todo aquel no riera cuando debía reírse, pues ya sabemos que es grave que alguien se tome a risa algo que tú has pretendido que resulte serio pero también sabemos que es mucho peor que alguien no ría una gracia que tú consideras absolutamente desternillante, llegas a preguntarte, ¿qué tipo de bazofia humana se ha reunido aquí?, ¿
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;es decir, nadie rió cuando debía reir, es algo tan desolador que nos hace reflexionar sobre el emotivo encuentro entre creador y público. ¿Era este autor teatral un reflejo de la propia mente de Benhard?, ¿se sentía Bernhard incomprendido? Yo me pregunto si también debía haber matado a todo aquel no riera cuando debía reírse, pues ya sabemos que es grave que alguien se tome a risa algo que tú has pretendido que resulte serio pero también sabemos que es mucho peor que alguien no ría una gracia que tú consideras absolutamente desternillante, llegas a preguntarte, ¿qué tipo de bazofia humana se ha reunido aquí?, ¿por qué diablos
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;de la propia mente de Benhard?, ¿se sentía Bernhard incomprendido? Yo me pregunto si también debía haber matado a todo aquel no riera cuando debía reírse, pues ya sabemos que es grave que alguien se tome a risa algo que tú has pretendido que resulte serio pero también sabemos que es mucho peor que alguien no ría una gracia que tú consideras absolutamente desternillante, llegas a preguntarte, ¿qué tipo de bazofia humana se ha reunido aquí?, ¿por qué diablos he tenido que estar escribiendo esta obra durante toda mi vida hasta considerar el resto de la existencia una absoluta banalidad?, ¿era necesario que la expusiera a la chanza de
