EjemploID;BIBLIOGRAFIA;AUTOR;TITULO;FECHA;TEMA;PAIS;CONCORDANCIA;fecha;Valido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perifrasis;Observaciones
1;01/02/1984 , El País, 01/02/1984 [España] [Madrid, Diario El País, S.A., 01/02/1984] Escena;NA;El País, 01/02/1984;1/2/84;Escena;España;los buenos ratos que hemos pasado contando entre nosotros mismos chistes ferozmente autocríticos de la institución a la que pertenecemos y a la que de ninguna manera queremos renunciar, sino a la que solamente queremos sanar con la terapéutica del humor. Pero el humor debe ser buen humor. Y a este respecto confieso que el Teledeum me defraudó. No conseguí reírme ni una sola vez. Las risitas del público se producían por causas tan nimias como los tropezones de los torpes ensayantes del culto ecuménico que la televisión iba grabando. Quizá mi condición de andaluz pudiera ser la causa de mi demasiada exigencia en estos temas de humor. Pero, a decir verdad, el montaje me dio la impresión;1984;si;si;no;infinitivo;animado;no_reflexiva;
2;01/02/1987 , El País, 01/02/1987 [España] [Madrid, Diario El País, S.A., 01/02/1987] Deportes;NA;El País, 01/02/1987;1/2/87;Deportes;España;"Leche Río, 89; Fórum Filatélico, 86";1987;no;;;;;;
3;01/03/1994 , El Mundo, 01/03/1994 [España] [Madrid, Unidad Editorial, 1995] Deportes;NA;El Mundo, 01/03/1994;1/3/94;Deportes;España;Una de las cosas que tiene que hacer con la máxima urgencia Ovejero, el entrenador comodín y medicinal de este Atlético, es permitir a sus jugadores que vuelvan a ver en el vestuario, todas las tardes, Kassandra. Que se emocionen, que se alegren, que sufran, que se indignen, que rían, que lloren, que se abracen, que se quieran a cuenta de los demás. Es el único modo de exorcizar los demonios del culebrón, de recomponer el alma campechana y bulliciosa del Atlético, de empezar a salir de Guatepeor aunque sea para quedarse en Guatemala, y de olvidar ese acto de sedición que los futbolistas,;1994;si;no;no;imperfectivo;animado;;
4;01/03/1994 , El Mundo, 01/03/1994 [España] [Madrid, Unidad Editorial, 1995] Literatura;NA;El Mundo, 01/03/1994;1/3/94;Literatura;España;en vida parasitaria con una aristocracia feudal hasta 1960, y una burguesía brutal, han producido un país tullido, contrahecho, si se le compara a sus análogos europeos, no tanto a los islámicos y latinoamericanos. Pero hoy existe una posibilidad de integrarse a Europa si nos sacudimos las excrecencias ideológicas que llevan a muchos a reirse de los suizos o de los alemanes porque son como relojes o como ladrillos, etc. Esas bromas de impotentes burlándose de los sexualmente vigorosos son lamentables.;1994;si;si;si;infinitivo;animado;;
5;01/03/1994 , El Mundo, 01/03/1994 [España] [Madrid, Unidad Editorial, 1995] Medios de comunicación;NA;El Mundo, 01/03/1994;1/3/94;Medios de comunicación;España;¡Cómo me despatarraba de risa, de pequeño, con los Fratellini, Charlie Rivel, Charlot, los Marx, Jerry Lewis, Popof y Teddy! Y ¿hace cuánto que, sentado ante el televisor, viendo, naturalmente, un programa de humor, no me río a mandíbula batiente? Martes y Trece, sí, «¡Encarnaaaa! ¡Las empanadillas!», cuán largo me lo fiáis... Algunos humoristas —Faemino y Cansado (los más excéntricos) o Angel Garó (el más «artista»)— me provocan una sonrisa agridulce. De otros, como Beatriz Carvajal, agradezco el honrado;1994;si;si;no;imperfectivo;animado;;
6;01/03/1994 , El Mundo, 01/03/1994 [España] [Madrid, Unidad Editorial, 1995] Política;NA;El Mundo, 01/03/1994;1/3/94;Política;España;En Estados Unidos te ofrecen una recompensa por la captura de los prófugos, no entiendo por qué las autoridades de nuestro país no obran igual», bromeaba un traseúnte. A un grupo de colonos que circulaban por los andenes, la observación del ciudadano no les causó ninguna gracia. «Grandísimo hijo de puta, cómo puedes reírte de la desgracia de tus hermanos de raza», le interpeló uno de los religiosos.;1994;si;si;si;infinitivo;animado;no_reflexiva;
7;01/03/1996 , ABC Cultural, 01/03/1996 [España] [Madrid, INTER CD S.L. CON EL PATROCINIO DE PLANETA, 01/03/1996] Arte y cultura en general;NA;ABC Cultural, 01/03/1996;1/3/96;Arte y cultura en general;España;, hombre, ¿qué hace un chico como tú en un programa como ése? Más claros estuvieron los de Hermida y Cía, sin trampa ni cartón. Los intelectuales de la derecha, bien, ¿qué les digo? Los de la izquierda, Del Pozo, Sabina y Juan Diego, bien, como mosca de la pinza, riéndose por lo bajo del drama del felipismo subvencionado.;1996;si;si;si;imperfectivo;animado;;
8;01/04/1985 , El País, 01/04/1985 [España] [Madrid, Diario El País, S.A., 01/04/1985] Actualidad;NA;El País, 01/04/1985;1/4/85;Actualidad;España;Blanca Marsillach tiene una belleza sólida y delicada, ya se ha dicho, algo muy firme que se expresa en carácter, y todo lucimiento con ella es como con una ninfa de piedra: casi imposible. O quizá sea que uno no ha encontrado el tono. En último caso, esto es la crónica de una derrota. Pero ríe muy niña mis gracias más sencillas, y eso se traduce en más desconcierto. Lleva los pechos sueltos, casi alpestres, bajo la fina prenda que debe estar como de moda. — Soy la hermana maldita, Umbral. Sí, ya me lo ha dicho, y la media luz de la media tarde le pone;1985;transitivo;;;;;;
9;01/04/1989 , El País, 01/04/1989 [España] [Madrid, Diario El País, S.A., 01/04/1989] Deportes;NA;El País, 01/04/1989;1/4/89;Deportes;España;"de este ambiente"". ""Precisamente si renové hace tiempo mi contrato"", añadió, ""fue para que no se mezclaran las cosas"". ""Y si hasta ahora no nos ha afectado el ambiente electoral"", prosigue el técnico, ""esperamos que tampoco incida en el partido contra el Madrid"". Cruyff incluso se ríe cuando se le pregunta por las declaraciones de algunos jugadores del Madrid que criticaron el fichaje de Romerito. ""Me esperaba esta reacción. Imagino que intentan calentar más el ambiente, porque molesta que tengamos tranquilidad"", responde, ""pero ahí dentro [vestuario] no hay nada para hurgar"". ""Espero"",";1989;si;si;no;imperfectivo;animado;;
10;01/04/1989 , El País, 01/04/1989 [España] [Madrid, Diario El País, S.A., 01/04/1989] Erotismo, sexología;NA;El País, 01/04/1989;1/4/89;Erotismo, sexología;España;el antropólogo Marvin Harris, entre la gran cantidad de pueblos estudiados, no halla ni un solo caso de sociedad humana promiscua. El tabú puede ser algo repulsivo, como, por ejemplo, la circuncisión femenina, pero también tiene la característica de su injusticia, ya que, en la práctica, los poderosos suelen saltárselo a la torera y se ríen de los demás, que somos esclavos de ancestrales y estúpidas prohibiciones. En el caso que nos ocupa, el poderoso empresario prescindió del tabú para él, mientras sus empleados obedecían, contra natura, el modelo hilobático de comportamiento.– Rafael Márquez. Palma de Mallorca.;1989;si;si;si;imperfectivo;animado;;
