EjemploID;BIBLIOGRAFIA;AUTOR;TITULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAIS;ZONA;TIPOLOGIA;NOTAS;CONCORDANCIA;Valido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perifrasis;Observaciones
6;«Amores menudos». Artez. Bilbao: artezblai.com/artez/index.html, 2007-02.;NA;Artez;2007;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;Periodicidad: mensual;del Siglo de Oro español como Lope de Vega o Baltasar del Alcázar, además de autores contemporáneos como Gabriel García Márquez o Mario Vargas Llosa, así como otros textos de creación propia son la base del monólogo que la actriz argentina Norma Aleandro presenta en el Teatro Gayarre de Iruñea los días 9 y 10 de febrero, para ofrecer un espectáculo que pretende hacer sonreír, reír y entretener. El espectáculo Sobre el amor y otros cuentos sobre el amor, que esta gran dama de los escenarios argentinos estrenó en su país a mediados de 1976 y que se presenta en una nueva versión, se ha transformado en su 'caballito de batalla' predilecto y se convierte en un show íntimo en el que;si;no;;;;causativa;
13;«CRÍTICA. Sexo para todos». El País.com. Cine. Madrid: elpais.com/diario/cine, 2006-12-01.;NA;El País.com. Cine;2006;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;Periodicidad: semanal;"Por lo demás, el músico Roque Baños le da un toque paródico a la banda sonora que sirve para otorgarle empaque y Santiago Segura demuestra que sabe hacer reír con la frase en principio menos indicada para ello, pero los chistes de ínfima calidad acaban ganando la partida: ""¿Cómo se llamaba tu grupo? ¿Las paperas?"". Respuesta: ""No, Angie y Las anginas"".";si;no;;;;causativa;
17;"«Eduardo Soto: ""¡Neng!, que los políticos se disfracen de lagarterana""». ABC.es. Madrid: abc.es, 2007-08-14.";NA;ABC.es;2007;Primera edición;No ficción;Escrito;Prensa;Actualidad, ocio y vida cotidiana;España;NA;NA;NA;Porque hay políticos que me hacen reír cuando no es su misión: Yo no Creo que ellos quieran hacernos gracia.;si;no;;;;causativa;
24;"«Esteve Soler debuta con la alocada comedia ""Jo sóc un altre!"" en el TNC». ABC.es. Madrid: abc.es, 2006-03-10.";NA;ABC.es;2006;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;"Gags de comedia pura y dura La comedia de Esteve Soler, que se podrá ver el 2 de abril en la Sala Tallers, explora los tópicos de las batallas entre sexos y busca, sobre todo, ""hacer reír al espectador hasta 120 veces"" a lo largo del montaje. Para ello, además de las preguntas existencialistas que se hacen los personajes, Soler ha inundado el espectáculo de ""gags de comedia pura y dura"" sobre un decorado multicolor.";si;no;;;;causativa;
64;Abuín, Alberto: «'Un Franco, 14 Pesetas', ¡Así se hace!». Críticas de películas y estrenos. Blog de cine. www.blogdecine.com: blogdecine.com, 2006-05-13.;Abuín, Alberto;Críticas de películas y estrenos. Blog de cine;2006;Primera edición;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;Suiza para Carlos Iglesias, y concretamente ese pueblo en el que rodó parte de la película, y al que vuelve todos los años de visita. Su amor por ese lugar y por sus gentes, y sobre todo por una forma distinta de pensar, nos es transmitido maravillosamente, lo comparte con nosotros, haciéndonos reir, llorar y de paso dando una lección, sin pretender hacerlo, al resto de colegas profesionales. Menuda película. Si en la próxima edición de los Goya no se ve recompensada en más de una modalidad, es que no hay justicia en el mundo, a parte de muchos envidiosos. Así se hace;si;no;;;;causativa;
87;Aramburu, Fernando: «Después de las llamas». Los peces de la amargura. Barcelona: Tusquets Editores, 2006.;Aramburu, Fernando;Los peces de la amargura;2006;Primera edición;Ficción;Escrito;Libro;Relato;España;NA;Ficción;NA;martina: ¿Tú? No me hagas reír. Si tú no sabes ni enchufar la lavadora... Y además se te tiene que ver en la película.;si;no;;;;causativa;
88;Aramburu, Fernando: «Madres». Los peces de la amargura. Barcelona: Tusquets Editores, 2006.;Aramburu, Fernando;Los peces de la amargura;2006;Primera edición;Ficción;Escrito;Libro;Relato;España;NA;Ficción;NA;no los asustasen. Menos mal que estaba la luz apagada. También el bebé, a su manera, se daba cuenta de que algo anormal ocurría. Durante la cena, el angelito estiraba el cuello y volvía la cabeza a los lados. Se conoce que echaba en falta las bromas con que su padre solía hacerle reír.;si;no;;;;causativa;
97;Arenas, Nani: «La grapadora de Gonzalo y Falete». La Viajera Empedernida. Blog de viajes de una periodista especializada en turismo. http://www.laviajeraempedernida.com/: laviajeraempedernida.com/, 2009-01-29.;Arenas, Nani;La Viajera Empedernida. Blog de viajes de una periodista especializada en turismo;2009;Fecha de escritura;No ficción;Escrito;NA;Actualidad, ocio y vida cotidiana;España;NA;Blog;NA;La contemplación de Falete y la evidente delgadez de Doña Letizia nos hicieron reir en la cena que tuvimos por la noche, a la que acudimos invitados muchos colegas por el Ente del Turismo Italiano, a la que llegué sin pies (no tuve tiempo de pasar por el hotel a cambiarme de calzado y casi muero).;si;no;;;;causativa;
107;"Astorga, Antonio: «José Luis López Vázquez: ""Me ha costado trabajo hacer reír"" ""Me ha costado trabajo hacer reír""». ABC.es. Madrid: abc.es, 2006-08-16.";Astorga, Antonio;ABC.es;2006;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;"Las películas con Saura, perfectas: ""El Jardín de las delicias"" o ""La Prima Angélica""; con Pedro Olea ""El bosque del lobo""... Son seres que tenían una línea y que yo sabía que eran ricos en matices y sentimientos. Y eso no me ha costado trabajo. Me ha costado más trabajo hacer reír. Por ejemplo, cuando te espetan: ""¡Aquí tienes que estar gracioso!""... ""¡Y esto hay que decirlo con un latiguillo para que la gente se ría!"". Eso es lo que me ha costado más.";si;no;;;;causativa;
111;"Ayanz, Miguel: «""Angelina o el honor de un brigadier""». Notas desde la fila siete. http://notasdesdelafilasiete.blogspot.com.es/: notasdesdelafilasiete.blogspot.com.es/, 2009-12-20.";Ayanz, Miguel;Notas desde la fila siete;2009;Fecha de escritura;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;Pérez Puig en 1978). Segundo por entender que Jardiel, como Mihura o Muñoz Seca, tiene un público en el siglo XXI y que su humor, fresco y vigente, sólo necesita de una lectura acorde a los tiempos. El error no es llevar a Moratín o a Ramón de la Cruz a las tablas, ya que pueden hacernos reír hoy en día, sino hacerlo como era costumbre hace medio siglo, como ha demostrado Ernesto Caballero.;si;no;;;;causativa;
